sensor,timestamp,x,y,z
2,67035,0.207031,-0.289062,0.898438
3,67046,-0.371094,0.246094,0.816406
1,67057,-0.003906,0.816406,0.570312
2,67068,0.207031,-0.285156,0.902344
3,67079,-0.375000,0.242188,0.808594
1,67090,-0.003906,0.824219,0.574219
2,67101,0.203125,-0.285156,0.898438
3,67112,-0.371094,0.246094,0.812500
1,67123,0.000000,0.816406,0.570312
2,67134,0.203125,-0.285156,0.894531
3,67145,-0.378906,0.246094,0.820312
1,67156,-0.007812,0.820312,0.566406
2,67167,0.207031,-0.285156,0.898438
3,67178,-0.371094,0.246094,0.812500
1,67189,-0.003906,0.820312,0.566406
2,67200,0.207031,-0.289062,0.906250
3,67211,-0.375000,0.242188,0.808594
1,67222,-0.003906,0.820312,0.570312
2,67233,0.207031,-0.285156,0.898438
3,67244,-0.375000,0.246094,0.808594
1,67255,-0.003906,0.816406,0.570312
2,67266,0.207031,-0.289062,0.894531
3,67277,-0.375000,0.246094,0.812500
1,67288,-0.003906,0.816406,0.574219
2,67299,0.207031,-0.285156,0.898438
3,67310,-0.378906,0.246094,0.816406
1,67321,0.000000,0.820312,0.570312
2,67332,0.210938,-0.289062,0.902344
3,67343,-0.375000,0.246094,0.816406
1,67354,-0.003906,0.820312,0.566406
2,67365,0.210938,-0.285156,0.898438
3,67376,-0.378906,0.246094,0.812500
1,67387,0.000000,0.820312,0.562500
2,67398,0.207031,-0.285156,0.898438
3,67409,-0.378906,0.246094,0.812500
1,67420,-0.003906,0.816406,0.570312
2,67431,0.207031,-0.285156,0.898438
3,67442,-0.371094,0.246094,0.808594
1,67453,0.000000,0.820312,0.570312
2,67464,0.203125,-0.285156,0.902344
3,67475,-0.375000,0.246094,0.812500
1,67486,0.000000,0.816406,0.566406
2,67497,0.207031,-0.285156,0.906250
3,67508,-0.371094,0.250000,0.808594
1,67519,-0.003906,0.820312,0.566406
2,67530,0.207031,-0.285156,0.898438
3,67541,-0.375000,0.246094,0.808594
1,67552,-0.003906,0.816406,0.566406
2,67563,0.210938,-0.285156,0.898438
3,67574,-0.375000,0.246094,0.816406
1,67585,-0.003906,0.816406,0.570312
2,67596,0.210938,-0.289062,0.898438
3,67607,-0.378906,0.246094,0.816406
1,67618,0.000000,0.820312,0.562500
2,67629,0.207031,-0.289062,0.898438
3,67640,-0.375000,0.246094,0.816406
1,67651,0.000000,0.820312,0.566406
2,67662,0.203125,-0.277344,0.898438
3,67673,-0.375000,0.246094,0.816406
1,67684,-0.007812,0.816406,0.566406
2,67695,0.207031,-0.289062,0.894531
3,67706,-0.375000,0.246094,0.808594
1,67717,0.000000,0.816406,0.570312
2,67728,0.207031,-0.285156,0.902344
3,67739,-0.375000,0.246094,0.816406
1,67750,-0.003906,0.816406,0.566406
2,67761,0.203125,-0.285156,0.902344
3,67772,-0.375000,0.246094,0.808594
1,67783,-0.003906,0.820312,0.570312
2,67794,0.210938,-0.289062,0.902344
3,67805,-0.375000,0.246094,0.812500
1,67816,-0.003906,0.816406,0.566406
2,67827,0.203125,-0.285156,0.902344
3,67838,-0.375000,0.246094,0.812500
1,67849,-0.003906,0.820312,0.566406
2,67860,0.210938,-0.285156,0.894531
3,67871,-0.375000,0.246094,0.812500
1,67882,-0.003906,0.820312,0.570312
2,67893,0.207031,-0.285156,0.898438
3,67904,-0.378906,0.242188,0.812500
1,67915,-0.003906,0.816406,0.570312
2,67926,0.207031,-0.285156,0.902344
3,67937,-0.375000,0.246094,0.812500
1,67948,-0.003906,0.816406,0.574219
2,67959,0.210938,-0.289062,0.898438
3,67970,-0.375000,0.250000,0.808594
1,67981,-0.003906,0.820312,0.566406
2,67992,0.210938,-0.285156,0.902344
3,68003,-0.371094,0.246094,0.812500
1,68014,-0.003906,0.824219,0.566406
2,68025,0.207031,-0.285156,0.894531
